id,sentiment
1,love
2,neutral
3,neutral
4,happiness
5,neutral
6,happiness
7,neutral
8,neutral
9,neutral
10,love
11,neutral
12,worry
13,happiness
14,neutral
15,neutral
16,happiness
17,worry
18,happiness
19,happiness
20,happiness
21,happiness
22,love
23,neutral
24,neutral
25,neutral
26,happiness
27,neutral
28,neutral
29,neutral
30,neutral
31,love
32,love
33,worry
34,happiness
35,happiness
36,neutral
37,neutral
38,worry
39,neutral
40,happiness
41,love
42,worry
43,neutral
44,neutral
45,love
46,neutral
47,neutral
48,happiness
49,happiness
50,neutral
51,neutral
52,neutral
53,neutral
54,happiness
55,worry
56,neutral
57,neutral
58,neutral
59,love
60,happiness
61,worry
62,neutral
63,neutral
64,worry
65,neutral
66,happiness
67,happiness
68,happiness
69,happiness
70,neutral
71,worry
72,happiness
73,love
74,neutral
75,worry
76,love
77,happiness
78,neutral
79,happiness
80,worry
81,worry
82,worry
83,love
84,love
85,happiness
86,worry
87,worry
88,happiness
89,neutral
90,neutral
91,happiness
92,happiness
93,neutral
94,neutral
95,worry
96,worry
97,neutral
98,neutral
99,happiness
100,happiness
101,worry
102,happiness
103,worry
104,happiness
105,worry
106,happiness
107,happiness
108,neutral
109,happiness
110,worry
111,neutral
112,happiness
113,happiness
114,neutral
115,worry
116,neutral
117,happiness
118,neutral
119,happiness
120,neutral
121,happiness
122,neutral
123,neutral
124,happiness
125,happiness
126,love
127,neutral
128,happiness
129,neutral
130,happiness
131,worry
132,worry
133,worry
134,love
135,neutral
136,neutral
137,neutral
138,neutral
139,neutral
140,happiness
141,neutral
142,happiness
143,love
144,worry
145,neutral
146,happiness
147,happiness
148,worry
149,neutral
150,neutral
151,sadness
152,love
153,worry
154,love
155,happiness
156,neutral
157,neutral
158,happiness
159,neutral
160,neutral
161,happiness
162,worry
163,worry
164,neutral
165,love
166,worry
167,worry
168,love
169,happiness
170,happiness
171,worry
172,neutral
173,worry
174,worry
175,love
176,happiness
177,neutral
178,happiness
179,worry
180,neutral
181,happiness
182,neutral
183,neutral
184,worry
185,neutral
186,neutral
187,neutral
188,worry
189,worry
190,happiness
191,happiness
192,neutral
193,neutral
194,happiness
195,happiness
196,worry
197,neutral
198,sadness
199,neutral
200,happiness
201,happiness
202,neutral
203,worry
204,worry
205,happiness
206,neutral
207,worry
208,happiness
209,neutral
210,worry
211,neutral
212,happiness
213,neutral
214,love
215,neutral
216,happiness
217,happiness
218,neutral
219,happiness
220,neutral
221,happiness
222,neutral
223,happiness
224,worry
225,worry
226,neutral
227,neutral
228,neutral
229,love
230,worry
231,worry
232,love
233,neutral
234,neutral
235,neutral
236,worry
237,neutral
238,happiness
239,neutral
240,neutral
241,happiness
242,happiness
243,happiness
244,happiness
245,happiness
246,happiness
247,love
248,happiness
249,happiness
250,neutral
251,happiness
252,love
253,neutral
254,happiness
255,happiness
256,neutral
257,neutral
258,neutral
259,happiness
260,worry
261,worry
262,happiness
263,worry
264,worry
265,happiness
266,happiness
267,neutral
268,love
269,happiness
270,happiness
271,neutral
272,worry
273,happiness
274,happiness
275,neutral
276,happiness
277,happiness
278,happiness
279,neutral
280,love
281,happiness
282,happiness
283,neutral
284,happiness
285,happiness
286,love
287,worry
288,worry
289,worry
290,love
291,happiness
292,happiness
293,happiness
294,neutral
295,happiness
296,neutral
297,worry
298,neutral
299,neutral
300,neutral
301,neutral
302,love
303,happiness
304,worry
305,happiness
306,neutral
307,happiness
308,neutral
309,happiness
310,happiness
311,neutral
312,worry
313,neutral
314,happiness
315,neutral
316,love
317,worry
318,love
319,worry
320,worry
321,happiness
322,happiness
323,neutral
324,happiness
325,happiness
326,worry
327,neutral
328,happiness
329,worry
330,neutral
331,happiness
332,sadness
333,neutral
334,happiness
335,happiness
336,happiness
337,happiness
338,happiness
339,neutral
340,neutral
341,love
342,worry
343,neutral
344,neutral
345,happiness
346,worry
347,love
348,happiness
349,neutral
350,neutral
351,neutral
352,worry
353,happiness
354,happiness
355,love
356,love
357,sadness
358,happiness
359,neutral
360,neutral
361,worry
362,neutral
363,worry
364,neutral
365,happiness
366,love
367,neutral
368,happiness
369,neutral
370,neutral
371,love
372,neutral
373,happiness
374,neutral
375,happiness
376,happiness
377,love
378,happiness
379,neutral
380,worry
381,neutral
382,neutral
383,happiness
384,neutral
385,neutral
386,neutral
387,happiness
388,love
389,love
390,neutral
391,love
392,neutral
393,happiness
394,neutral
395,neutral
396,neutral
397,happiness
398,neutral
399,happiness
400,happiness
401,neutral
402,neutral
403,neutral
404,neutral
405,happiness
406,neutral
407,happiness
408,happiness
409,neutral
410,neutral
411,neutral
412,happiness
413,happiness
414,love
415,neutral
416,neutral
417,neutral
418,happiness
419,happiness
420,neutral
421,love
422,neutral
423,worry
424,neutral
425,happiness
426,happiness
427,neutral
428,neutral
429,neutral
430,neutral
431,neutral
432,neutral
433,love
434,worry
435,happiness
436,happiness
437,happiness
438,neutral
439,worry
440,neutral
441,neutral
442,happiness
443,happiness
444,happiness
445,worry
446,neutral
447,worry
448,neutral
449,happiness
450,worry
451,worry
452,worry
453,worry
454,happiness
455,worry
456,neutral
457,neutral
458,love
459,happiness
460,happiness
461,neutral
462,happiness
463,neutral
464,happiness
465,happiness
466,happiness
467,happiness
468,neutral
469,worry
470,happiness
471,happiness
472,happiness
473,love
474,worry
475,worry
476,neutral
477,happiness
478,neutral
479,neutral
480,love
481,happiness
482,love
483,neutral
484,happiness
485,neutral
486,neutral
487,worry
488,neutral
489,neutral
490,happiness
491,happiness
492,love
493,worry
494,worry
495,happiness
496,happiness
497,neutral
498,happiness
499,neutral
500,neutral
501,worry
502,worry
503,love
504,neutral
505,neutral
506,happiness
507,neutral
508,worry
509,happiness
510,love
511,neutral
512,happiness
513,worry
514,worry
515,neutral
516,neutral
517,neutral
518,neutral
519,neutral
520,worry
521,worry
522,happiness
523,happiness
524,neutral
525,love
526,neutral
527,worry
528,worry
529,happiness
530,love
531,worry
532,happiness
533,worry
534,happiness
535,neutral
536,happiness
537,love
538,worry
539,worry
540,happiness
541,love
542,neutral
543,worry
544,neutral
545,neutral
546,worry
547,worry
548,neutral
549,happiness
550,happiness
551,worry
552,worry
553,neutral
554,happiness
555,worry
556,happiness
557,neutral
558,neutral
559,neutral
560,neutral
561,neutral
562,worry
563,worry
564,happiness
565,happiness
566,happiness
567,happiness
568,happiness
569,neutral
570,neutral
571,neutral
572,neutral
573,neutral
574,neutral
575,neutral
576,happiness
577,neutral
578,happiness
579,happiness
580,neutral
581,happiness
582,worry
583,neutral
584,neutral
585,worry
586,neutral
587,happiness
588,neutral
589,happiness
590,neutral
591,happiness
592,love
593,love
594,neutral
595,happiness
596,happiness
597,happiness
598,happiness
599,happiness
600,neutral
601,happiness
602,worry
603,neutral
604,neutral
605,neutral
606,love
607,love
608,neutral
609,happiness
610,worry
611,worry
612,worry
613,happiness
614,happiness
615,neutral
616,worry
617,neutral
618,happiness
619,happiness
620,love
621,happiness
622,neutral
623,happiness
624,worry
625,neutral
626,neutral
627,worry
628,love
629,worry
630,happiness
631,worry
632,happiness
633,worry
634,neutral
635,happiness
636,neutral
637,worry
638,happiness
639,happiness
640,neutral
641,happiness
642,happiness
643,happiness
644,happiness
645,worry
646,happiness
647,happiness
648,happiness
649,worry
650,happiness
651,neutral
652,happiness
653,happiness
654,happiness
655,worry
656,love
657,worry
658,worry
659,sadness
660,worry
661,happiness
662,worry
663,worry
664,happiness
665,happiness
666,neutral
667,neutral
668,neutral
669,neutral
670,neutral
671,happiness
672,neutral
673,neutral
674,neutral
675,happiness
676,neutral
677,happiness
678,happiness
679,happiness
680,happiness
681,neutral
682,neutral
683,worry
684,neutral
685,neutral
686,worry
687,worry
688,happiness
689,neutral
690,neutral
691,happiness
692,love
693,happiness
694,sadness
695,happiness
696,worry
697,happiness
698,happiness
699,worry
700,happiness
701,neutral
702,worry
703,happiness
704,neutral
705,happiness
706,worry
707,worry
708,happiness
709,happiness
710,neutral
711,neutral
